"IMO","Name","Vessel.Type","MMSI","Call.Sign","Flag","AIS.Vessel.Type","Gross.Tonnage","Deadweight","Year.Built","Status","Length","Breadth"
9379727,"NEW FRONTIER","CRUDE OIL TANKER",477127100,"VRNV9","Hong Kong [HK]","Tanker",156726,296349,2011,"Active",330,60
9160190,"KYMOLOS","CRUDE OIL TANKER",636017427,"D5KX2","Liberia [LR]","Tanker",156505,298324,1998,"Active",332,58.05
9493054,"HL TUBARAO","ORE CARRIER",354121000,"3FYC5","Panama [PA]","Cargo",152219,299688,2011,"Active",339.95,55
9723069,"GENER8 NEPTUNE","CRUDE OIL TANKER",538006372,"V7MJ9","Marshall Is [MH]","Tanker",157092,299999,2015,"Active",336,60.04
9212890,"HALTI","CRUDE OIL TANKER",370396000,"3FVF4","Panama [PA]","Tanker",160930,299261,2002,"Active",334.46,58
9400681,"FRONT CECILIE","CRUDE OIL TANKER",477826700,"VRHD7","Hong Kong [HK]","Tanker",156988,296995,2010,"Active",329.9,60.03
9334894,"RIGEL","ORE CARRIER",432717000,"7JFD","Japan [JP]","Cargo",150836,297571,2009,"Active",327,55
9302023,"JIN EI","CRUDE OIL TANKER",371417000,"3ECP2","Panama [PA]","Tanker - Hazard A (Major)",160007,299998,2005,"Active",332.98,60
9230969,"ARTOIS","CRUDE OIL TANKER",538007796,"V7ZC5","Marshall Is [MH]","Tanker",159456,298330,2001,"Active",332.94,60
9376749,"NEW MEDAL","CRUDE OIL TANKER",477177700,"VREU6","Hong Kong [HK]","Tanker",156702,297557,2008,"Active",330,60
9181649,"LAVAILS","CRUDE OIL TANKER",419001233,"AWTL","India [IN]","Tanker",157814,299325,2000,"Active",332,58
9398060,"NEW PARADISE","CRUDE OIL TANKER",636014478,"A8UD8","Liberia [LR]","Tanker",156921,297863,2010,"Active",330,60
9212888,"HEDY","CRUDE OIL TANKER",357840000,"3FEE5","Panama [PA]","Tanker",160930,299242,2002,"Active",333.13,58
9253117,"NAVE CELESTE","CRUDE OIL TANKER",477974000,"VRZH4","Hong Kong [HK]","Tanker",158993,298717,2003,"Active",332.07,58.04
9575955,"POLYMNIA I","CRUDE OIL TANKER",215254000,"9HA2689","Malta [MT]","Tanker",156651,296812,2011,"Active",330,60
9389021,"MARINA","CRUDE OIL TANKER",636013374,"A8MM6","Liberia [LR]","Tanker",160598,299999,2009,"Active",333,60.04
9263215,"COSGREAT LAKE","CRUDE OIL TANKER",356336000,"HORS","Panama [PA]","Tanker",159730,298833,2002,"Active",333,60.03
8506684,"FPSO CIDADE DO RIO DE JANEIRO ","FLOATING STORAGE/PRODUCTION",309493000,"C6VQ5","Bahamas [BS]","Unspecified",146575,275045,1986,"Active",321.48,58
9197856,"RUBY IV","CRUDE OIL TANKER",356324000,"H3PA","Panama [PA]","Tanker - Hazard D (Recognizable)",149282,281050,2000,"Active",330,60
9310654,"AQUARIUS WING","CRUDE OIL TANKER",356257000,"3EAA9","Panama [PA]","Tanker",159953,299990,2005,"Active",333,60
9177155,"DESTINY","CRUDE OIL TANKER",356794000,"3EZE3","Panama [PA]","Tanker - Hazard A (Major)",152139,281050,1999,"Active",330,60
9733806,"APOLLONAS","CRUDE OIL TANKER",538006613,"V7PB7","Marshall Is [MH]","Tanker",157169,299999,2016,"Active",336,60
9522180,"DS VENTURE","CRUDE OIL TANKER",636092175,"A8XV5","Liberia [LR]","Tanker",157039,297345,2011,"Active",329.88,60
9327114,"BUNGA KASTURI LIMA","TANKER",533914000,"9MFE8","Malaysia [MY]","Tanker",157209,298100,2007,"Active",330,60
9181546,"NEW FRIENDSHIP","CRUDE OIL TANKER",357906000,"3FWG9","Panama [PA]","Tanker",149371,279999,1999,"Active",330,60
9575101,"SEA SPLENDOR","CRUDE OIL TANKER",477083500,"VRJO7","Hong Kong [HK]","Tanker",157039,297123,2012,"Active",330.01,60.03
9434620,"NEW RESOURCE","CRUDE OIL TANKER",636014485,"A8UF6","Liberia [LR]","Tanker",157039,297101,2009,"Active",330,60
9251597,"NEW DYNASTY","CRUDE OIL TANKER",351932000,"HPEG","Panama [PA]","Tanker - Hazard A (Major)",160066,299992,2003,"Active",333,60
9389784,"XIN HAN YANG","CRUDE OIL TANKER",477639800,"VRGB4","Hong Kong [HK]","Tanker",152727,297293,2009,"Active",330,60
9331062,"NOVA ERA","ORE CARRIER",636013757,"A8PD7","Liberia [LR]","Cargo",151094,297442,2008,"Active",327,55
9646986,"COSRICH LAKE","CRUDE OIL TANKER",477652100,"VRMH3","Hong Kong [HK]","Tanker",152727,297336,2012,"Active",330,60
9387578,"ELIZA","CRUDE OIL TANKER",636013372,"A8MM2","Liberia [LR]","Tanker - Hazard A (Major)",160836,299999,2008,"Active",332.98,60.04
9325037,"COSMERRY LAKE","CRUDE OIL TANKER",372251000,"3EHV","Panama [PA]","Tanker",160027,298920,2006,"Active",333,60.05
9259343,"VEGA TRADER","CRUDE OIL TANKER",351837000,"HPNF","Panama [PA]","Tanker",159813,299985,2003,"Active",332.98,60
9165346,"TULJA BHAVANI","CRUDE OIL TANKER",352325000,"3FEJ8","Panama [PA]","Tanker",156716,299127,1998,"Active",332,58
9534858,"TRIKWONG VENTURE","CRUDE OIL TANKER",477274600,"VRIZ8","Hong Kong [HK]","Tanker",157225,297136,2012,"Active",330,60
9779616,"SEA RUBY","CRUDE OIL TANKER",538007275,"V7EQ7","Marshall Is [MH]","Tanker",154236,299284,2017,"Active",333,60
9391763,"SETAGAWA","CRUDE OIL TANKER",373604000,"3FVC7","Panama [PA]","Tanker",159936,299998,2009,"Active",333,60
9377391,"COSCO ANSTEEL","ORE CARRIER",477617800,"VRFV5","Hong Kong [HK]","Cargo",150971,297719,2009,"Active",327,55.05
9237539,"GULF GLORY","CRUDE OIL TANKER",538007706,"V7EV5","Marshall Is [MH]","Tanker",159477,298414,2002,"Active",333,60
9722936,"ANNE","CRUDE OIL TANKER",228075700,"FIYQ","France [FR]","Tanker",154379,299533,2016,"Active",333,60.04
9180281,"HUMANITY","CRUDE OIL TANKER",352159000,"3FGM5","Panama [PA]","Tanker",149383,299990,2000,"Active",330,60
9722900,"DHT PANTHER","CRUDE OIL TANKER",477584700,"VRPX9","Hong Kong [HK]","Tanker",154180,299629,2016,"Active",333,60
9503249,"ORE NOUMEA","ORE CARRIER",432882000,"7JMY","Japan [JP]","Cargo",151032,297379,2012,"Active",327,55
9218466,"DOVER","CRUDE OIL TANKER",353835000,"3FFT","Panama [PA]","Tanker",160576,296977,2003,"Active",333.5,58.04
9334909,"NEW ANSTEEL","BULK CARRIER",477192200,"VREY3","Hong Kong [HK]","Cargo",150971,297488,2009,"Active",327,55.05
9263227,"COSBRIGHT LAKE","CRUDE OIL TANKER",351165000,"HOZX","Panama [PA]","Tanker",159730,299079,2003,"Active",333,60.03
9196644,"FRONT HAKATA","CRUDE OIL TANKER",311363000,"C6SJ7","Bahamas [BS]","Tanker",159383,298465,2002,"Active",332.95,60.04
9183934,"FELICITY","CRUDE OIL TANKER",352382000,"3FSL6","Panama [PA]","Tanker",149383,299990,2000,"Active",330,60
9379703,"NEW TALISMAN","CRUDE OIL TANKER",477127200,"VRNV7","Hong Kong [HK]","Tanker",156726,296481,2009,"Active",330,60
9377406,"STEVEN N","ORE CARRIER",636014328,"A8TC8","Liberia [LR]","Cargo",145000,297462,2010,"Active",327,55
